Number_of_elements,Kernel_reps,Cuda_blocks,Threads_per_block,T_hosttodev,T_exec,T_devtohost,Bw_HosttoDev,Bw_DevtoHost,Bw_execution
32000000,16,864,141,0.009702,0.006777,0.009746,26387530581.020630,26267456051.439568,1208737020345.231445
32000000,16,864,142,0.009704,0.006669,0.009745,26380419881.181599,26269318592.010338,1228402120321.109619
32000000,16,864,143,0.009696,0.006782,0.009745,26401384994.650059,26269024780.191364,1207967037814.389893
32000000,16,864,144,0.009711,0.006652,0.009830,26362509222.856922,26042281268.856693,1231475441734.700684
32000000,16,864,145,0.009709,0.006738,0.009747,26367269069.620766,26265267714.276119,1215739613395.671387
32000000,16,864,146,0.009709,0.006664,0.009746,26368575418.920109,26266375318.305058,1229240620666.605225
32000000,16,864,147,0.009710,0.006672,0.009745,26364686649.844486,26269237727.156055,1227741564388.500488
32000000,16,864,148,0.009693,0.006597,0.009747,26410580332.325386,26264944337.988754,1241817601182.135498
32000000,16,864,149,0.009655,0.006634,0.009745,26514569705.464085,26270372626.486546,1234873850389.820801
32000000,16,864,150,0.009708,0.006652,0.010124,26368713929.156704,25287362222.104893,1231495805946.892822
32000000,16,864,151,0.009716,0.006682,0.010122,26349623069.484303,25290789747.300472,1225989052341.117188
32000000,16,864,152,0.009705,0.006609,0.010124,26379411357.107342,25286710300.167885,1239513049483.189209
32000000,16,864,153,0.009647,0.006647,0.009746,26536188774.311611,26266563965.889812,1232422335503.934326
32000000,16,864,154,0.010113,0.006594,0.009746,25315148884.349663,26267022129.710087,1242311943891.366455
32000000,16,864,155,0.009677,0.006651,0.009747,26454252798.593357,26265537197.330482,1231703741698.219727
32000000,16,864,156,0.009722,0.006579,0.009746,26331453551.685909,26267132640.874866,1245110260030.068115
32000000,16,864,157,0.009713,0.006604,0.009746,26355140659.627754,26266294471.570290,1240517619778.555908
32000000,16,864,158,0.009706,0.006581,0.009746,26374728640.976406,26266294471.570290,1244841021333.514893
32000000,16,864,159,0.009715,0.006600,0.009746,26349677306.482422,26266863125.081341,1241246349555.671875
32000000,16,864,160,0.009676,0.006466,0.009746,26457128959.307396,26266078866.370415,1266924742835.648682
32000000,16,864,161,0.009722,0.006603,0.009746,26332948666.588375,26267671679.249390,1240590885457.922119
32000000,16,864,162,0.009711,0.006646,0.010776,26362783411.180130,23755398084.833447,1232574574684.528564
32000000,16,864,163,0.009918,0.006608,0.009747,25812662787.921516,26265025186.215775,1239733082398.105713
32000000,16,864,164,0.009707,0.006537,0.009746,26372060532.895920,26265863274.514076,1253198585370.557861
32000000,16,864,165,0.009712,0.006582,0.009747,26359219318.926628,26263297973.638618,1244605935401.420166
32000000,16,864,166,0.009705,0.006546,0.009932,26377777793.020710,25774903333.702602,1251410930754.750488
32000000,16,864,167,0.009721,0.006687,0.011182,26335010128.981930,22893715569.711990,1225030031590.995361
32000000,16,864,168,0.009707,0.006583,0.010278,26372413712.631031,24908606817.277096,1244412901677.933105
32000000,16,864,169,0.010109,0.006661,0.011134,25324933240.398441,22992734294.271816,1229898915057.099854
32000000,16,864,170,0.010114,0.006584,0.010607,25310508526.977810,24134984705.619785,1244189315464.772461
32000000,16,864,171,0.009685,0.006607,0.009974,26432330296.204506,25666821001.895500,1239834589515.024658
32000000,16,864,172,0.009896,0.006503,0.009750,25869485012.281311,26255605086.462402,1259651511280.478027
32000000,16,864,173,0.009720,0.006588,0.009745,26336963544.149261,26269941295.524082,1243498651151.890137
32000000,16,864,174,0.009711,0.006517,0.009746,26360932034.729065,26267102990.729267,1256986733661.245117
32000000,16,864,175,0.010110,0.006569,0.009745,25322150171.867508,26270803961.805752,1246995915229.268311
